,episodes,total_waiting_time,reward
0,0,2587,5.235294117647059
1,1,3344,0.9090909090909091
2,2,3634,5.538461538461538
3,3,3986,5.235294117647059
4,4,2400,7.0
5,5,3564,6.176470588235294
6,6,3257,5.588235294117647
7,7,3176,6.4
8,8,3246,7.125
9,9,2376,7.846153846153846
10,10,2970,7.7272727272727275
11,11,2995,5.888888888888889
12,12,3723,6.769230769230769
13,13,3422,5.571428571428571
14,14,3206,5.846153846153846
15,15,3407,6.833333333333333
16,16,3413,5.266666666666667
17,17,4203,4.666666666666667
18,18,3856,2.230769230769231
19,19,3595,3.2142857142857144
20,20,5794,-5.222222222222222
21,21,2865,6.928571428571429
22,22,2402,7.214285714285714
23,23,4760,-1.0666666666666667
24,24,4261,-1.588235294117647
25,25,4685,-0.8
26,26,2726,7.916666666666667
27,27,3247,5.647058823529412
28,28,3939,3.1538461538461537
29,29,2534,7.714285714285714
30,30,4668,0.06666666666666667
31,31,4970,-4.2631578947368425
32,32,3293,0.9411764705882353
33,33,5225,0.125
34,34,4000,3.875
35,35,3375,4.666666666666667
36,36,4082,5.0
37,37,3964,7.615384615384615
38,38,3249,9.5625
39,39,3702,5.25
40,40,3221,7.95
41,41,3741,4.4
42,42,3085,8.333333333333334
43,43,4074,6.055555555555555
44,44,2941,8.823529411764707
45,45,4267,7.533333333333333
46,46,3645,3.0
47,47,3937,6.611111111111111
48,48,4926,-0.696969696969697
49,49,5071,-4.304347826086956
50,50,8086,-6.166666666666667
51,51,9756,-10.954545454545455
52,52,17133,-16.514285714285716
53,53,4597,-0.7368421052631579
54,54,2779,4.333333333333333
55,55,3202,9.352941176470589
56,56,3145,9.058823529411764
57,57,2785,6.92
58,58,2861,9.333333333333334
59,59,2724,8.777777777777779
60,60,2721,7.380952380952381
61,61,2721,7.380952380952381
62,62,2721,7.380952380952381
63,63,2721,7.380952380952381
64,64,2721,7.380952380952381
65,65,2721,7.380952380952381
66,66,2721,7.380952380952381
67,67,2721,7.380952380952381
68,68,2721,7.380952380952381
69,69,2721,7.380952380952381
70,70,2721,7.380952380952381
71,71,2721,7.380952380952381
72,72,2721,7.380952380952381
73,73,2721,7.380952380952381
74,74,2721,7.380952380952381
75,75,2721,7.380952380952381
76,76,2721,7.380952380952381
77,77,2721,7.380952380952381
78,78,2721,7.380952380952381
79,79,2721,7.380952380952381
80,80,2721,7.380952380952381
81,81,2721,7.380952380952381
82,82,2721,7.380952380952381
83,83,2721,7.380952380952381
84,84,2721,7.380952380952381
85,85,2721,7.380952380952381
86,86,2721,7.380952380952381
87,87,2721,7.380952380952381
88,88,2721,7.380952380952381
89,89,2721,7.380952380952381
90,90,2721,7.380952380952381
91,91,2721,7.380952380952381
92,92,2721,7.380952380952381
93,93,2721,7.380952380952381
94,94,2721,7.380952380952381
95,95,2721,7.380952380952381
96,96,2721,7.380952380952381
97,97,2721,7.380952380952381
98,98,2721,7.380952380952381
99,99,2721,7.380952380952381
